"gene","Delta_2RF","euclidean_dist","mean_SASA","Length","Total_Mutations_n","Essential","gene_ctrl","mean_SASA_ctrl","Length_ctrl","Total_Mutations_n_ctrl","Essential_ctrl"
"Q6UXS9",0.658,0.27344499362208,69.9773322743109,341,0,"NT","P23610",65.6640722025337,371,1,"NT"
"Q8IUF8",0.657,0.109083270800697,59.6050018823011,465,6,"No","Q5MNV8",61.3353406516283,452,6,"No"
"O43866",0.655,0.165841118325531,57.6808046195158,347,3,"No","Q86YB7",56.9821660135616,292,2,"No"
"P24593",0.655,0.0277763901905281,94.9473410984559,272,0,"No","Q9BTT0",94.5196584377985,268,0,"No"
"P39905",0.655,0.0847143738693915,107.533732117062,211,4,"No","Q9BRQ6",107.95856192766,235,5,"No"
"Q99836",0.655,0.162124441893116,67.8171482146622,296,6,"No","Q5VY80",68.9621671187805,246,7,"No"
"O43240",0.654,0.108577342756149,60.6250454498043,276,3,"No","P54107",59.5543424644578,249,2,"No"
"Q155Q3",0.654,0.199054732060893,97.3474286097247,683,1,"No","Q567U6",97.6153087337876,631,4,"No"
"Q96Q07",0.654,0.228996609649739,60.1968843277451,612,0,"No","Q9H9A6",57.8509748801495,602,4,"No"
"O00194",0.653,0.0402986526901879,65.6354424896789,218,1,"No","Q8WUY1",65.1481699187019,208,1,"No"
"P31937",0.653,0.134855508763678,58.8974370283333,336,2,"No","A6NM36",58.5188563684053,301,0,"No"
"P61604",0.653,0.0757247380226478,75.4969500179412,102,0,"Yes","P62987",75.1507313117187,128,0,"Yes"
"P10145",0.652,0.0897222025557717,88.5998208470707,99,0,"No","Q8N3H0",88.5622182587786,131,0,"No"
"Q07343",0.652,0.0949029675756671,86.1670887344022,736,2,"No","Q9Y3M9",87.5989458446072,751,2,"No"
"O15144",0.651,0.0742294690461521,60.46115541592,300,0,"No","Q15006",59.2199705952391,297,0,"No"
"P22748",0.651,0.297466990947778,61.6349022375641,312,10,"No","O75521",63.8633619061421,394,7,"No"
"Q96C86",0.651,0.0960175173050391,69.5443959572997,337,7,"No","Q9BYS8",69.7415361545175,371,7,"No"
"Q9H0S4",0.651,0.0705135655965482,59.8266754763736,455,0,"Yes","Q13685",59.1732679807604,434,0,"Yes"
"Q9P258",0.651,0.165209288948775,57.5816033643525,522,0,"No","Q7Z6M2",57.9982685187604,555,3,"No"
"P55055",0.65,0.107308382446116,75.847778990013,460,0,"No","Q8NA42",75.1555978256,475,2,"No"
"Q9NRN9",0.65,0.087548279042375,53.4596803317512,209,1,"No","Q96DC9",53.9176222865385,234,2,"No"
"Q96AQ7",0.65,0.065956080762706,96.0256286601681,238,5,"No","Q9Y676",96.6104528637984,258,5,"No"
"Q06278",0.649,0.329544532956152,39.7259433906667,1338,9,"No","O15067",35.6641514805561,1338,14,"No"
"Q07960",0.649,0.0777247157257407,59.4516072144328,439,2,"No","A6NGH8",58.597383306244,418,2,"No"
"Q13619",0.649,0.175887073559901,61.7024162632569,759,4,"No","O75843",59.4716976033885,785,6,"No"
"Q8NDZ4",0.649,0.240632405440538,54.2492440309442,430,0,"No","Q6ZVZ8",57.1444874337468,466,3,"No"
"P49247",0.648,0.175873872916032,67.7849901616399,311,6,"No","P31997",69.5921627629398,349,4,"No"
"P09919",0.647,0.079451393928046,63.2211368731401,207,2,"No","Q6P589",63.4220274997826,184,1,"No"
"P40121",0.647,0.320235277447491,52.3900964834655,348,5,"No","O60921",54.5104347124,280,0,"No"
"P82663",0.647,0.0228998547021066,77.6758452098266,173,1,"No","P57771",77.8745683825,180,1,"No"
"Q9H4E5",0.647,0.0112205665672367,66.8234239223271,214,1,"No","Q9C0K3",66.8159596382667,210,1,"No"
"Q13568",0.646,0.0571881889859711,84.6277057760442,498,1,"No","P17019",85.2224005244289,499,2,"No"
"P16050",0.645,0.86913629358879,41.5032570139789,662,9,"No","Q92973",48.8182587962584,898,1,"No"
"Q96L21",0.645,0.0322209137537872,65.9121453688318,214,2,"No","Q96BQ1",66.1795847542857,224,2,"No"
"P57772",0.644,0.147249216484886,57.9411790587181,596,5,"No","P22792",57.3467679196147,545,5,"No"
"Q9Y2T4",0.644,0.0785267174980381,60.5240133106622,447,0,"No","Q5SWL7",61.3987649035962,426,0,"No"
"Q9Y2X7",0.644,0.139811267388094,84.3795095168463,761,1,"No","Q0JRZ9",83.9394722061728,810,1,"No"
"P61587",0.644,0.0485980524941622,76.464211786418,244,1,"No","Q8N3J9",76.6249598132567,261,1,"No"
"Q8ND76",0.644,0.0668241398474279,78.912052367261,341,0,"No","P53365",80.0366524546628,341,0,"No"
"P04040",0.642,0.116179401636739,57.5410302811006,527,8,"No","A8MYJ7",56.8789154957456,566,8,"No"
"Q86WU2",0.642,0.294847757592455,50.5918593081183,507,7,"No","A9QM74",55.2993314389574,516,9,"No"
"P04118",0.641,0.033454885258498,75.2402661366071,112,1,"No","Q9NZD4",75.5476370068627,102,1,"No"
"P08579",0.641,0.0460373291736057,71.5429176967556,225,0,"No","Q9NZI2",71.398069828793,227,1,"No"
"Q6YP21",0.641,0.451159718698517,50.7159804960176,454,1,"No","A6NK59",54.9252140716627,587,0,"No"
"Q9NTJ4",0.641,0.525176135938221,38.1354915246173,1040,7,"No","Q8TEX9",46.726476567136,1081,6,"No"
"Q9UQB9",0.641,0.130772659287157,61.8620418662783,309,3,"No","Q96DD0",62.8905217558985,335,1,"No"
"O00141",0.64,0.117738320378876,61.0334819347007,431,2,"No","Q8NEK8",61.0645251887352,389,2,"No"
"O00764",0.64,0.294150762962355,48.7410591625962,312,5,"No","Q8N9N7",50.6176797349456,239,1,"No"
"Q7Z4M0",0.64,0.129849138835325,86.840752181391,266,8,"No","P51504",84.6805799673993,273,8,"No"
"Q16878",0.64,0.0591581282406154,54.25913284476,200,0,"No","Q8N4P3",54.3586344952514,179,0,"No"
"P16278",0.639,0.637321966483324,47.9301806759793,677,0,"No","Q86TV6",55.2207807960878,843,1,"No"
"Q13588",0.638,0.0719723623829534,62.8537900247465,217,1,"No","A8MZ26",62.9353388667513,197,0,"No"
"P20155",0.638,0.0730802931318224,83.6201619166667,84,0,"No","O75711",82.9087563453061,98,1,"No"
"P08582",0.637,0.456066815730807,49.7469362586802,738,3,"No","Q9NSG2",54.9623386823236,853,5,"No"
"Q13367",0.637,0.693251590335371,70.2643190802736,1082,6,"No","Q9NR99",76.7822527850163,1228,15,"No"
"Q13418",0.636,0.387428058677808,51.1267048300265,452,5,"No","O60813",56.2985502875732,478,10,"No"
"Q9NQ30",0.636,0.0351832422782551,97.9394748605761,184,1,"No","Q9Y543",98.2246901936416,173,1,"No"
"P05121",0.636,0.525770494495753,49.8759777840199,402,5,"No","O75832",49.3858985543363,226,1,"No"
"O15527",0.635,0.250126017876298,54.2356449485507,345,4,"No","Q8WXJ9",56.8857220149831,295,1,"No"
"P35241",0.635,0.226548093498785,68.2479420935266,583,3,"No","Q15397",68.2108943064136,648,6,"No"
"P80098",0.635,0.0941841954378507,87.698155659596,99,0,"No","Q7Z5A7",87.3995100757576,132,0,"No"
"Q9H1D9",0.635,0.188786085134998,74.4414608190506,316,1,"Yes","Q9Y2Z0",76.6212656918356,365,1,"Yes"
"Q16877",0.634,0.453976559492254,51.6267969757271,469,0,"No","Q7L273",58.2698317024627,389,0,"No"
"Q9NZF1",0.634,0.0447719373971808,66.0436173244348,115,1,"No","Q86WV5",66.6957824906992,123,1,"No"
"Q92556",0.634,0.196112771740874,59.2063478329243,727,0,"No","Q86VW0",62.1651432261293,696,0,"No"
"Q14116",0.632,0.0218886461852022,68.0969673546425,193,1,"No","Q92572",68.4653368311399,193,1,"No"
"Q16526",0.632,0.301326152442798,60.6244391008874,586,0,"No","Q15172",62.485742121214,486,0,"No"
"P00326",0.632,0.664601871850993,41.6854169732427,375,6,"No","P30043",49.4941071844272,206,5,"No"
"P12882",0.631,1.86097300623732,78.5436215025302,1939,6,"No","O43345",82.2790781542734,1280,7,"No"
"P43250",0.63,0.416255516390602,55.9234898090104,576,2,"No","Q8N4P2",57.7940758997744,665,9,"No"
"P30041",0.63,0.0961090560834668,53.1457461069643,224,0,"No","Q96LD8",51.6305891743868,212,0,"No"
"Q969D9",0.63,0.0517967389889846,72.7264786612579,159,0,"No","O60493",73.5866152130247,162,0,"No"
"P09544",0.63,0.0533905782832291,64.4357161053111,360,1,"No","Q9BTX7",64.1417867056023,342,1,"No"
"O15217",0.629,0.0997699571841348,54.8694566339189,222,0,"No","Q5VYY1",55.2018049018639,191,1,"No"
"P06730",0.629,0.103905230196374,67.1970240612903,217,0,"Yes","Q9Y255",68.7713407227854,219,1,"Yes"
"Q15466",0.629,0.0348615501808909,69.2613628998677,257,4,"No","Q9BYG7",69.6662975660484,248,4,"No"
"O95715",0.628,0.0939201045048438,88.7323990587387,111,0,"No","Q96LR4",89.524205615,140,0,"No"
"O15460",0.628,0.154796395635503,59.7332268782654,535,6,"No","Q9H069",62.2760915681262,523,6,"No"
"O96014",0.628,0.10493198397628,60.115982609661,354,2,"No","Q5VWP2",59.8471678313555,391,2,"No"
"Q9GZP0",0.628,0.0408925858880569,91.6657759190811,370,1,"No","P53367",90.9922915664504,373,1,"No"
"P19086",0.627,0.220919206655103,55.4946746181859,355,0,"No","Q8WXK3",56.2883233460288,278,0,"No"
"Q8N474",0.627,0.0717119443421518,74.9965995271656,314,1,"No","Q15293",74.5036040096677,331,2,"No"
"Q9BQ87",0.627,0.321871265904296,57.0075751238353,522,4,"No","Q0VAA2",62.1261307823156,488,3,"No"
"P23443",0.626,0.0833051184357122,80.9836141648952,525,0,"No","Q6P597",81.6268977019643,504,1,"No"
"Q12800",0.626,0.0696056724176897,79.1887832808167,502,0,"No","Q9UJ41",79.918555774664,491,1,"No"
"P04899",0.626,0.379314308782181,52.8888110104225,355,4,"No","Q5JWF8",56.6071000385959,245,4,"No"
"P09486",0.626,0.0723181127058099,74.9547446525083,303,3,"No","Q9H8S5",74.0192027223453,307,4,"No"
"P15880",0.626,0.150491927662513,76.9590025274403,293,0,"Yes","Q99633",77.9942824102339,342,0,"Yes"
"P42677",0.626,0.225407739927753,85.3314140847619,84,0,"NT","O15263",88.9272110125,64,1,"NT"
"Q96PD4",0.626,0.062134181887978,93.5056178398773,163,4,"No","O15304",93.0554908394286,175,3,"No"
"Q9H0D6",0.626,0.157462228532141,70.0266044011958,950,1,"Yes","Q9NV70",70.2369983011477,894,1,"Yes"
"O43929",0.625,0.219777374777763,57.5285179059633,436,7,"No","Q5SWL8",56.8654177176827,479,11,"No"
"P56703",0.625,0.11875049605549,61.3192129056507,355,1,"No","Q5JTD7",61.5168943653481,316,0,"No"
"Q14642",0.625,0.580593687219014,48.8748145978884,412,0,"No","Q9NZD2",50.8178098231579,209,0,"No"
"Q6UWY0",0.625,0.561910746159418,48.4162025676157,536,5,"No","Q8TDL5",54.5159931000413,484,14,"No"
"Q96PZ0",0.625,0.290242017550448,63.4361901678759,661,6,"No","A6NGR9",61.9823521026008,719,11,"No"
"O75116",0.624,0.574600682775594,81.484226468487,1388,5,"No","Q05481",82.9059447133669,1191,8,"No"
"P15309",0.624,0.273242329636807,57.1806054006114,386,2,"No","Q9H469",58.7320752002867,300,0,"No"
"Q08380",0.624,0.349831604599451,57.959923517788,585,7,"No","Q8N531",63.380504564705,539,8,"No"
"Q8IYI6",0.623,0.177023912964843,72.0157435577186,725,4,"No","A4D1P6",74.7042642612878,747,5,"No"
"Q96RU8",0.623,0.0587930128872662,70.5769909454839,372,1,"No","Q6PF05",70.2036818463989,361,2,"No"
"Q9H6E4",0.623,0.0675304534690321,74.0719677306113,229,1,"No","P49427",74.8543851618898,236,0,"No"
"Q9UMX1",0.623,0.0600998430716717,63.4103455509959,484,7,"No","Q9ULV8",64.3050443119409,474,7,"No"
"Q8IWG1",0.622,0.280090704724994,81.4073049163659,891,7,"No","Q86UE3",85.2696408425981,836,6,"No"
"Q8TAS1",0.622,0.618413183138108,51.0874530237518,419,1,"No","P46439",53.1261653279358,218,6,"No"
"Q9UJ68",0.622,0.0554441155568805,60.2778841677872,235,3,"No","P16562",59.8805920664198,243,2,"No"
"P50750",0.621,0.0165320023190039,62.1922483266398,372,1,"Yes","Q9UNM6",61.9877866606702,376,1,"Yes"
"P51589",0.621,0.871586497519617,48.0580874384622,502,1,"No","Q8N461",62.6860540118914,479,1,"No"
"P62191",0.621,0.091373950586618,76.4869209157409,440,1,"Yes","O75478",77.8189386416253,443,0,"Yes"
"Q16667",0.621,0.0655983457133841,58.9517599183491,212,0,"No","Q15631",58.146084754693,228,0,"No"
"P08476",0.62,0.0857606402966809,77.3521204710376,426,0,"No","Q9UPV7",77.444215221025,400,1,"No"
"Q7Z553",0.62,0.334992430211542,60.3557184436569,956,0,"No","A4D1F6",61.8220190084047,860,4,"No"
"Q9BUP3",0.62,0.149175752629334,54.7577881440083,242,1,"No","Q86TA1",56.8140210079907,216,0,"No"
"P01215",0.619,0.0549868044643839,89.9011227112069,116,0,"No","Q6B9Z1",90.2799866143226,124,1,"No"
"P05198",0.619,0.167589644272959,71.6365831546667,315,1,"Yes","Q12792",69.4782284958171,350,0,"Yes"
"P34897",0.619,0.367710539079062,54.1860207760754,504,10,"No","Q5VTA0",59.7680265035401,474,13,"No"
"P68366",0.619,0.822736839540432,43.4272220154196,448,6,"No","Q9UBQ0",47.133408728022,182,0,"No"
"Q96AX1",0.619,0.909353460085157,49.6468408848423,596,7,"No","Q16537",62.6555421345953,467,0,"No"
"O43143",0.618,0.432372090755756,57.5554017023094,795,0,"Yes","O00471",63.5641645529661,708,0,"Yes"
"O75351",0.618,0.0837394564215648,63.6036924363739,444,0,"No","Q8IV38",65.0058413746712,441,0,"No"
"P31751",0.618,0.274356556010171,59.5083256357588,481,3,"No","P21128",62.6866387552098,410,3,"No"
"Q14019",0.618,0.0315363502434168,60.9788992240141,142,0,"No","Q96B02",61.2973959901987,151,0,"No"
"Q9NWZ3",0.618,0.16551194121908,62.0196017237174,460,6,"No","Q96A09",64.1320599313176,425,5,"No"
"Q9Y6I4",0.618,0.164555724218569,63.5216071541615,520,1,"No","Q9UJT9",65.9294986191079,491,1,"No"
"Q96EZ8",0.617,0.311565137388162,91.0145404080087,462,0,"Yes","Q9H6D7",91.7568725893664,363,3,"Yes"
"Q9NS87",0.617,0.676466409369284,92.8588415228098,1388,14,"No","B1AJZ9",103.538895328067,1412,19,"No"
"Q9NWV8",0.617,0.0595011967003169,72.9427780145593,329,0,"No","P48059",72.3129148742646,325,1,"No"
"P59998",0.616,0.0547803652540598,65.5261532433333,168,0,"Yes","P61081",66.1171379946994,183,0,"Yes"
"Q00341",0.616,1.29344019922291,77.6344993873675,1268,6,"No","A8MXY4",84.9563629895718,864,16,"No"
"Q02218",0.616,0.241120683781881,48.1518935654096,1023,9,"No","Q9H2T7",49.5417074812169,1088,12,"No"
"Q93088",0.616,0.643128706026739,48.9989499346798,406,4,"No","Q5TA50",54.7292013220561,214,6,"No"
"O14977",0.615,0.586257905853689,53.7697198110089,448,0,"No","Q96FW1",59.0263020025683,271,0,"No"
"Q86U70",0.615,0.146732216888484,96.9665629678832,411,1,"No","Q9UC06",95.2927361434978,446,0,"No"
"P31749",0.614,0.275072813965193,60.3819581875625,480,5,"No","Q92552",62.9517495538406,414,8,"No"
"P35226",0.614,0.0622361035146947,89.8530209435583,326,0,"No","Q96I27",90.3079472364052,306,0,"No"
"P62745",0.614,0.0424395975442698,60.8770934271224,196,0,"No","Q9HAE3",60.7798305779147,211,0,"No"
"Q86U86",0.613,1.82539257673825,79.9062882422333,1689,0,"No","Q5T9S5",106.221589700138,1454,15,"No"
"Q8NE62",0.613,1.09450793280087,44.5246303049125,594,7,"No","O60810",57.3044917732218,478,23,"No"
"Q96QU6",0.613,0.500989193065081,58.7674071024551,501,6,"No","Q06828",63.4640554453511,376,1,"No"
"P0DMV9",0.612,0.523507760473745,49.6140661352574,641,3,"NT","A0A0G2JKD1",57.8591193060805,596,0,"NT"
"P52789",0.612,0.425100554768983,43.5799436934918,917,8,"No","Q8N8A2",47.7983382813454,993,2,"No"
"Q99683",0.612,1.33308925116525,70.6603218948122,1374,6,"No","Q9NYU2",50.1347330499061,1555,10,"No"
"O43681",0.611,0.0876564474890498,63.9076755022989,348,1,"Yes","Q15435",65.0414202496333,360,0,"Yes"
"P58753",0.611,0.0697824677099613,77.1742998004525,221,4,"No","Q9BY27",78.0723898984545,220,3,"No"
"Q15119",0.611,0.466578256869441,56.120680337199,407,1,"No","P27348",57.7605354750286,245,0,"No"
"Q99717",0.611,0.133388184982898,70.3827149802581,465,0,"No","Q12933",69.1237317802794,501,1,"No"
"Q14653",0.61,0.139527535350107,64.0431646613817,427,13,"No","P11464",66.2342776141575,419,14,"No"
"Q96GD3",0.61,0.0929601080133609,87.0717284186364,660,1,"No","O94892",86.9183683043712,652,3,"No"
"Q5HYI8",0.61,0.0448396706585332,67.2324997800848,236,2,"No","P58499",66.4793575989787,235,2,"No"
"Q9H0P0",0.61,0.326856442213232,55.2069164388095,336,0,"No","P54108",58.646645849902,245,0,"No"
"Q9Y5C1",0.61,0.116260111085569,86.0689167302174,460,6,"No","Q8N988",85.1846472041608,423,6,"No"
"P02775",0.609,0.0375989325421008,98.7125036414062,128,0,"No","Q8IY31",98.1085292727273,132,0,"No"
"Q13394",0.609,0.571188490234229,49.899780064429,359,3,"No","P55273",51.9938707662771,166,0,"No"
"Q92913",0.609,0.01796180698131,84.8401641140327,245,6,"No","Q2KHN1",84.5378803922041,245,6,"No"
"Q99731",0.609,0.0378988706633634,90.6032883828571,98,0,"No","Q7Z4G1",90.7786453835294,85,0,"No"
"Q9NTK5",0.609,0.478301557223828,56.1251772616162,396,1,"No","P31946",59.8878090874228,246,0,"No"
"Q9UET6",0.609,0.190014374059401,66.2928175990942,329,10,"No","P11465",69.4780670825851,335,10,"No"
"Q15650",0.608,0.148556827866675,91.0400455806885,581,7,"No","Q8N9K5",91.2492291567718,539,5,"No"
"Q96PM5",0.608,0.0866796828854566,64.8416108939464,261,2,"No","Q6BDI9",64.4331386860593,236,3,"No"
"P41222",0.608,0.0527708923672593,66.4105220686842,190,2,"No","Q8WWM9",66.8777683504737,190,1,"No"
"P48047",0.608,0.0514914267412362,76.7431759025822,213,1,"No","Q16763",76.7604854001171,222,2,"No"
"P49841",0.608,0.339840008996936,59.3657892908238,420,0,"No","P51888",64.5826036910105,382,2,"No"
"Q13464",0.608,1.22440212273322,86.1025499504963,1354,1,"No","Q8NB25",103.810409073684,1140,5,"No"
"Q96T88",0.608,0.138264551252661,68.7280732183985,793,2,"No","Q8TAG9",66.5892010680896,804,3,"No"
"Q9NQZ5",0.608,0.0723367577906659,82.1078459895297,370,3,"No","P50502",83.0614601078862,369,2,"No"
"P24723",0.607,0.389941348833693,60.3913645974026,683,2,"No","Q92845",64.4691470452677,792,2,"No"
"P50454",0.607,0.641749179839885,53.5423815439952,418,5,"No","Q70IA8",56.946556785787,216,0,"No"
"Q14289",0.607,0.757188105511139,72.4000955380773,1009,4,"No","Q9NU02",65.9961952666443,776,3,"No"
"Q53GS9",0.607,0.236143062788089,71.6790856224,565,2,"Yes","Q9UHB9",73.9058530082903,627,0,"Yes"
"Q96M94",0.607,0.960440390735312,51.2615127267815,604,4,"No","P06731",61.8232212545014,702,19,"No"
"O43837",0.606,0.421547625945225,57.4138408689662,385,1,"No","Q9Y576",64.1046281226866,335,1,"No"
"Q92583",0.606,0.0971701397772658,87.3318012114894,94,1,"No","P56277",86.2501339945588,68,1,"No"
"O14618",0.606,0.261228633780952,54.9420421186496,274,0,"No","Q8TCA0",55.7982885357174,184,1,"No"
"O95445",0.606,0.0238999036882421,63.8119134291489,188,1,"No","Q86XP6",63.456700244,184,1,"No"
"Q9ULK4",0.606,0.842618280813155,44.9168980439664,1368,9,"No","Q96QU8",49.7641091433849,1125,0,"No"
"O60543",0.605,0.0407969259465399,93.8763987007306,219,2,"No","Q5JR98",94.5564676042082,221,2,"No"
"P01568",0.605,0.0280320637070939,61.4234084634921,189,2,"No","Q9NVQ4",61.4170193772626,179,2,"No"
"P62899",0.605,0.051515307960924,80.7983164736,125,1,"Yes","P35268",81.1998228503906,128,0,"Yes"
"Q4W4Y0",0.605,0.27077211555641,58.7233816586452,310,3,"No","O76038",62.7122926078261,276,1,"No"
"Q5T4F7",0.604,0.0785105651475253,70.3262465337413,317,2,"No","Q6ZTW0",70.6778539513793,290,2,"No"
"Q9UJX6",0.604,0.345613085478871,61.8393564093674,822,1,"Yes","Q9HCS7",67.3924659010246,855,0,"Yes"
"Q9Y2W6",0.603,0.185072653509399,81.078021115344,561,2,"No","Q3KP31",84.0156887710069,576,3,"No"
"A8K855",0.602,0.421977823440307,63.837863010194,629,6,"No","Q92674",67.5758307702778,756,5,"No"
"P49407",0.602,0.181807697624156,63.7705726718325,418,1,"No","Q8WV60",66.0238981363041,388,3,"No"
"Q15797",0.602,0.134580552167524,70.3672145010323,465,0,"No","O00458",68.8141452768736,451,2,"No"
"Q9NPQ8",0.602,0.719948408834467,55.9740659310923,531,5,"No","Q8WVF1",66.0703074306581,389,5,"No"
"P0C2W1",0.601,0.276554433667425,57.0218103816084,286,1,"No","Q9H8S9",60.2136695956018,216,0,"No"
"Q14722",0.601,0.296613145643421,62.1384174191074,419,3,"No","Q53EV4",65.5288383108222,343,2,"No"
"Q6EBC2",0.601,0.0457717688122179,74.1023569252805,164,2,"No","O95711",73.983715995679,162,1,"No"
"Q9UHJ6",0.601,1.0364192693807,44.8892136238619,478,7,"No","P59991",52.5307563735616,146,8,"No"
"O75293",0.6,0.0377087838962424,63.64676802785,160,0,"No","Q96LZ3",64.0712855965882,170,0,"No"
"Q6NYC1",0.6,0.355233666269623,60.4961966202978,403,0,"No","Q15785",64.506035123301,309,0,"No"
"Q7L3T8",0.6,0.6667003012477,56.2359210875916,475,5,"No","Q00888",66.1544717668496,419,11,"No"
"Q8TBZ6",0.6,0.0427208720948371,89.4668494405487,339,3,"No","Q9NRS6",88.7619541440643,342,3,"No"
"P12277",0.599,0.751096076843823,44.9262183456693,381,0,"No","P35080",50.4525323637571,140,0,"No"
"P23396",0.599,0.16448314873515,76.034192308642,243,0,"Yes","P62241",73.8123194524808,208,0,"Yes"
"O43174",0.598,0.963153824387525,50.9321354499235,497,1,"No","Q7L9L4",60.2308447488241,216,0,"No"
"P26599",0.598,0.110477343145551,72.2144311425989,531,2,"No","Q9UKZ1",72.6548283115294,510,0,"No"
"O43542",0.597,0.368671781288314,57.1503830082948,346,9,"Yes","Q96EE3",60.3300157313056,360,2,"Yes"
"Q6P6C2",0.596,0.0877997437803819,85.9568104824772,394,0,"No","O60711",84.7441644942746,386,1,"No"
"Q9BR01",0.596,0.348809508624956,55.4757191064648,284,0,"No","A0PJX0",59.0324794492432,185,0,"No"
"O60547",0.595,0.626248419941914,50.632041580328,372,0,"No","P02144",52.8133403950649,154,1,"No"
"P48454",0.595,0.542805169944893,58.7615406509492,512,2,"No","Q5W5X9",67.3333911245414,447,1,"No"
"Q9UHL0",0.595,0.642511438923072,57.6955952171139,483,0,"No","O43852",65.0132125006984,315,1,"No"
"P49366",0.594,0.137858012532537,56.7993164167913,369,2,"Yes","Q9BT78",57.0334346612956,406,0,"Yes"
"Q14139",0.594,0.124491809781323,53.6856412081295,1066,1,"No","Q8NB46",51.6443318192565,1076,1,"No"
"Q96QV1",0.594,0.310551323351059,64.4161299633943,700,2,"No","Q86UA1",69.2009752501495,669,0,"No"
"Q9BUF5",0.594,1.08117660361588,43.3698528904619,446,3,"No","P58546",52.6729594583051,118,0,"No"
"Q9BZD4",0.594,0.293766456767407,91.3123024731681,464,4,"Yes","Q92664",92.7485191113425,365,3,"Yes"
"P06493",0.593,0.207463559749608,52.6337889178788,297,0,"Yes","P54920",56.1239699587458,295,0,"Yes"
"Q99496",0.593,0.0351099186205901,87.9393467824286,336,1,"No","O75764",87.7699080583621,348,1,"No"
"Q9NY65",0.593,1.09520483966739,44.533726482098,449,6,"No","P60673",54.9670442812117,137,1,"No"
"P14866",0.592,0.209369333218522,79.8018715881188,589,0,"Yes","P32780",82.6486906052737,548,1,"Yes"
"Q13057",0.592,1.04727804364913,51.6983310618972,564,7,"No","Q5JU00",68.9225011624671,501,4,"No"
"Q8IZL9",0.592,0.495740316397754,55.4995865562139,346,3,"No","P35243",59.9595934191,200,1,"No"
"P10276",0.592,0.150066821418424,76.2751540786796,462,0,"No","Q8N6Y2",75.7619453835193,441,3,"No"
"P23141",0.592,1.29212160621315,44.8749147760423,567,6,"No","O60811",56.0584934984937,474,30,"No"
"P42338",0.592,0.183966962429613,50.0077032688766,1070,4,"No","O15084",48.0560957366914,1053,1,"No"
"Q9H488",0.592,0.681798576830141,53.6785825732423,388,6,"No","Q8N1E2",60.4334962486907,194,4,"No"
"O14775",0.591,0.74705746025758,52.9953220873823,395,7,"No","Q7Z4H3",60.9092342553431,204,2,"No"
"P00736",0.591,0.890800431491701,59.9186580780738,705,0,"No","O95965",70.8979819225627,494,3,"No"
"P34130",0.591,0.045674302951811,92.7436474980952,210,3,"No","P52943",92.6361703617308,208,2,"No"
"Q6ZMV9",0.591,0.133649311618467,81.6002464535012,814,6,"No","Q6P3V2",80.8565771893368,769,6,"No"
"Q9Y450",0.591,0.119362083619112,73.9462188177865,684,2,"No","O75864",75.2286268851317,691,4,"No"
"A6NK06",0.59,1.22429285378432,42.0565470811268,481,3,"No","P0CG21",53.6411838890732,123,0,"No"
"Q15257",0.59,0.301884694151868,56.7491107714525,358,6,"Yes","O14579",59.1962936885065,308,1,"Yes"
"P30040",0.59,0.071939631977484,69.8274759709962,261,1,"No","Q9HBH1",70.2451215169959,243,2,"No"
"P61160",0.59,0.159927669633872,48.5262201386193,394,0,"Yes","Q5JVF3",51.098757642406,399,1,"Yes"
"Q8N4J0",0.59,0.536311279354247,57.30975771511,409,1,"No","Q8N485",64.0182343536525,282,0,"No"
"P50148",0.589,0.616119958261039,56.1639669216156,359,9,"No","O75865",59.2267018530818,159,5,"No"
"Q9NZI8",0.589,0.245303846521451,71.5943016459307,577,1,"No","Q12894",72.4262625852609,506,4,"No"
"P18054",0.588,1.35852099121311,41.6133161929201,663,10,"No","O60518",47.1772637260471,1105,0,"No"
"Q8TBX8",0.588,0.190057315038847,65.1305588590166,421,1,"No","Q9NVD7",67.2084318621774,372,0,"No"
"Q9NWM0",0.588,1.06658984299365,51.4716906938378,555,1,"No","Q96D15",65.8581011457805,328,2,"No"
"P29460",0.587,0.222264650806119,64.8947749126829,328,5,"No","Q13643",66.8264594209286,280,2,"No"
"Q8IZD9",0.587,1.73548085237575,68.2361076968493,2030,6,"No","Q9UPU5",59.3781407894023,2620,6,"No"
"Q8WTS1",0.587,0.693212167927674,52.1864775021261,349,8,"No","Q9Y2X8",56.3526217487075,147,1,"No"
"Q9UBP4",0.587,0.0861117335776697,90.5921364229143,350,5,"No","P82673",89.9007380765635,323,5,"No"
"Q6UX06",0.586,0.221636969841253,68.8585643315608,510,2,"No","Q53RD9",70.3164353478132,439,3,"No"
"Q9C040",0.586,0.687569299494452,66.5989200960161,744,3,"No","Q9BWT3",78.0649753388723,736,1,"No"
"Q9NRC8",0.586,0.37271301767359,61.0083698861,400,1,"No","Q9H832",66.8449091224576,354,0,"No"
"P14384",0.585,0.878503880450813,51.0972251297246,443,1,"No","P51668",55.8986623966667,147,0,"No"
"P29459",0.585,0.0304018142821406,70.0117729915068,219,2,"No","O95843",69.813632012134,209,2,"No"
"Q86YM7",0.585,0.0547210192707398,90.7020273608757,354,0,"No","Q96F63",90.6101269903207,343,1,"No"
"Q13838",0.584,0.643064889006622,57.0808216218037,428,0,"No","Q9NZL4",67.3744026550306,359,1,"No"
